DXCCSID,Region,Discharges,DischargesStdErr,MeanCharges,MeanChargesStdErr,MeanCost,MeanCostStdErr,MeanLOS,MeanLOSStdErr,MedianCharges,MedianCost,MedianLOS
654,2,539.9989219,60.44657666,18168.90226,1661.650917,6414.535796,571.1377749,5.342602231,0.648526645,13930,4915.263,3
654,3,534.9999345,56.60688282,19474.04023,1786.196138,4864.593065,353.0513568,4.813087709,0.711967951,13454,3738.3,3
654,4,430.0002093,47.68996528,29926.81432,4626.006791,9100.890101,1855.423219,0,0,16962,4632.5,
655,0,4349.982364,319.858164,32578.94695,6442.133924,11025.53873,3010.417874,8.805523012,0.561694275,14926,4750.33,5
655,1,1395.002247,212.4082391,35362.45085,4241.778722,10711.23535,1659.281604,11.19713584,1.12864904,18180,5269.248,6
655,2,1249.998588,180.7385926,20940.58306,1816.847265,6947.491192,689.2553399,7.823992017,0.643145248,14074,4778.676,6
655,3,1164.998357,137.2709361,20133.4081,1710.968943,5783.766168,545.1972599,8.258623776,1.169008323,13145,3746.952,4
655,4,539.9831722,75.38060943,0,0,0,0,6.073973643,1.005893741,0,0,4
656,0,9674.975195,861.3141963,21844.83266,2081.860273,6704.552724,867.0691784,7.970009129,0.526303896,11811,3653.65,5
656,1,3134.99525,411.3167648,27086.6821,3268.586275,7180.521892,609.8926843,9.491237016,1.209481024,13968,4262.335,5
656,2,2790.000814,622.9458548,18571.71996,1930.261632,6666.073391,932.0143514,8.388884602,0.882891377,12187,4132.296,5
656,3,3165.00027,419.3018355,13683.71089,807.4113785,3781.919888,197.4501988,6.180380427,0.463068973,10029,2782.465,5
656,4,584.9788608,93.83547552,0,0,0,0,7.487123435,1.103704284,0,0,4
657,0,835623.1546,26031.48207,20136.27705,981.0542961,6272.02524,443.6830088,6.629446115,0.084117274,12121,3705.912,5
657,1,191035.1454,10654.42857,25203.24202,1133.162385,7646.798839,305.0849061,8.456617344,0.19753214,15728,5149.179,6
657,2,235159.8981,13900.79478,14686.48853,489.6980875,4736.561482,150.413741,5.975589305,0.096408562,10645,3459.184,5
657,3,302034.5849,17293.53489,15217.38873,464.9607553,4173.214995,131.2165952,6.045438274,0.136429846,10982,3073.872,5
657,4,107393.5263,8474.83135,36998.27609,7230.735456,13159.53606,3403.035557,6.453318037,0.220922417,15410,4425.064,4
658,0,4584.997166,416.9237645,22505.1844,5161.65697,8005.832033,2384.911737,6.139565759,0.318665481,10378,3522.452,4
658,1,1030.004312,224.4449167,21166.72381,3337.430839,7878.904208,901.8046209,7.927193008,0.787194929,12649,4637.199,4
658,2,1729.999308,319.1200277,13403.17874,958.4319576,4560.643425,357.2366357,5.034684188,0.284129679,9939,3517.824,4
658,3,1250.000048,123.1208348,14759.09539,1671.750216,4023.150867,399.2214806,5.196002453,0.463576361,8771,2658.656,4
658,4,574.9934977,80.33413166,0,0,0,0,8.312868171,1.016614159,0,0,5
