RegionType,RegionID,CatID,CatVal,Year,Population
2,1075,0,0,2012,63973
2,1075,1,1,2012,16781
2,1075,1,2,2012,20431
2,1075,1,3,2012,17554
2,1075,1,4,2012,9207
2,1075,2,1,2012,29965
2,1075,2,2,2012,34008
2,1075,4,1,2012,20046
2,1075,4,2,2012,42656
2,1075,4,3,2012,571
2,1075,4,4,2012,189
2,1075,4,5,2012,73
2,1075,4,6,2012,438
2,1077,0,0,2012,34392
2,1077,1,1,2012,7482
2,1077,1,2,2012,11288
2,1077,1,3,2012,10083
2,1077,1,4,2012,5539
2,1077,2,1,2012,16441
2,1077,2,2,2012,17951
2,1077,4,1,2012,24923
2,1077,4,2,2012,8300
2,1077,4,3,2012,619
2,1077,4,4,2012,0
2,1077,4,5,2012,58
2,1077,4,6,2012,492
2,1078,0,0,2012,35956
2,1078,1,1,2012,7956
2,1078,1,2,2012,13094
2,1078,1,3,2012,10148
2,1078,1,4,2012,4758
2,1078,2,1,2012,18324
2,1078,2,2,2012,17632
2,1078,4,1,2012,19885
2,1078,4,2,2012,14879
2,1078,4,3,2012,872
2,1078,4,4,2012,95
2,1078,4,5,2012,61
2,1078,4,6,2012,164
2,1079,0,0,2012,13750
2,1079,1,1,2012,3645
2,1079,1,2,2012,4750
2,1079,1,3,2012,3545
2,1079,1,4,2012,1810
2,1079,2,1,2012,6579
2,1079,2,2,2012,7171
2,1079,4,1,2012,10442
2,1079,4,2,2012,2793
2,1079,4,3,2012,233
2,1079,4,4,2012,0
2,1079,4,5,2012,22
2,1079,4,6,2012,260
2,1080,0,0,2012,16927
2,1080,1,1,2012,4504
2,1080,1,2,2012,5140
2,1080,1,3,2012,4463
2,1080,1,4,2012,2820
2,1080,2,1,2012,8094
2,1080,2,2,2012,8833
2,1080,4,1,2012,7662
2,1080,4,2,2012,8993
2,1080,4,3,2012,162
2,1080,4,4,2012,20
2,1080,4,5,2012,20
2,1080,4,6,2012,70
2,1081,0,0,2012,34653
2,1081,1,1,2012,7877
2,1081,1,2,2012,14303
2,1081,1,3,2012,7904
2,1081,1,4,2012,4569
2,1081,2,1,2012,16472
2,1081,2,2,2012,18181
2,1081,4,1,2012,20285
2,1081,4,2,2012,12263
2,1081,4,3,2012,754
2,1081,4,4,2012,616
2,1081,4,5,2012,280
2,1081,4,6,2012,455
2,1082,0,0,2012,217501
2,1082,1,1,2012,51292
2,1082,1,2,2012,89852
2,1082,1,3,2012,51152
2,1082,1,4,2012,25205
2,1082,2,1,2012,104866
2,1082,2,2,2012,112635
2,1082,4,1,2012,132508
2,1082,4,2,2012,74141
2,1082,4,3,2012,6085
2,1082,4,4,2012,2689
2,1082,4,5,2012,383
2,1082,4,6,2012,1695
2,1083,0,0,2012,10564
2,1083,1,1,2012,2253
2,1083,1,2,2012,3998
2,1083,1,3,2012,2947
2,1083,1,4,2012,1366
2,1083,2,1,2012,5762
2,1083,2,2,2012,4802
2,1083,4,1,2012,1645
2,1083,4,2,2012,8142
2,1083,4,3,2012,623
2,1083,4,4,2012,35
2,1083,4,5,2012,5
2,1083,4,6,2012,114
2,1084,0,0,2012,34926
2,1084,1,1,2012,8505
2,1084,1,2,2012,12133
2,1084,1,3,2012,9020
2,1084,1,4,2012,5268
2,1084,2,1,2012,16948
2,1084,2,2,2012,17978
2,1084,4,1,2012,22133
2,1084,4,2,2012,11525
2,1084,4,3,2012,645
2,1084,4,4,2012,231
2,1084,4,5,2012,0
2,1084,4,6,2012,392
2,1085,0,0,2012,8831
2,1085,1,1,2012,1784
2,1085,1,2,2012,2799
2,1085,1,3,2012,2595
2,1085,1,4,2012,1653
2,1085,2,1,2012,4197
2,1085,2,2,2012,4634
2,1085,4,1,2012,7295
2,1085,4,2,2012,1325
2,1085,4,3,2012,147
2,1085,4,4,2012,0
2,1085,4,5,2012,4
2,1085,4,6,2012,60
2,1086,0,0,2012,8315
2,1086,1,1,2012,1778
2,1086,1,2,2012,2618
2,1086,1,3,2012,2313
2,1086,1,4,2012,1606
2,1086,2,1,2012,4017
2,1086,2,2,2012,4298
2,1086,4,1,2012,6879
2,1086,4,2,2012,990
2,1086,4,3,2012,362
2,1086,4,4,2012,0
2,1086,4,5,2012,22
2,1086,4,6,2012,62
2,1088,0,0,2012,15881
2,1088,1,1,2012,3402
2,1088,1,2,2012,4976
2,1088,1,3,2012,4420
2,1088,1,4,2012,3083
2,1088,2,1,2012,7470
2,1088,2,2,2012,8411
2,1088,4,1,2012,14886
2,1088,4,2,2012,589
2,1088,4,3,2012,265
2,1088,4,4,2012,22
2,1088,4,5,2012,17
2,1088,4,6,2012,102
2,2001,0,0,2012,302015
2,2001,1,1,2012,76528
2,2001,1,2,2012,122315
2,2001,1,3,2012,80709
2,2001,1,4,2012,22463
2,2001,2,1,2012,155059
2,2001,2,2,2012,146956
2,2001,4,1,2012,181239
2,2001,4,2,2012,16350
2,2001,4,3,2012,23304
2,2001,4,4,2012,31408
2,2001,4,5,2012,25198
2,2001,4,6,2012,24516
2,2002,0,0,2012,2548
2,2002,1,1,2012,545
2,2002,1,2,2012,804
2,2002,1,3,2012,842
2,2002,1,4,2012,357
2,2002,2,1,2012,1509
2,2002,2,2,2012,1039
2,2002,4,1,2012,1723
2,2002,4,2,2012,0
2,2002,4,3,2012,35
2,2002,4,4,2012,305
2,2002,4,5,2012,286
2,2002,4,6,2012,199
2,2003,0,0,2012,111827
2,2003,1,1,2012,28920
2,2003,1,2,2012,46682
