PRCCSID,Region,Discharges,DischargesStdErr,MeanCharges,MeanChargesStdErr,MeanCost,MeanCostStdErr,MeanLOS,MeanLOSStdErr,MedianCharges,MedianCost,MedianLOS
227 ,0,121735.0931,9067.368543,29000.11781,1450.488509,8213.363609,356.8604631,4.083870403,0.170997683,19175,5834.82,3
227 ,1,40600.03457,4107.164675,32445.29471,2443.669594,8864.384546,681.8285448,4.314042565,0.420466966,21803,6252.474,3
227 ,2,30520.00187,6997.869541,22686.22105,2658.246982,7510.60792,753.1948652,3.710353535,0.190502194,16362,5622.035,3
227 ,3,32455.00507,3251.181158,24424.87486,1053.594384,7036.638786,230.4836278,4.107994421,0.121752456,18391,5355.976,3
227 ,4,18160.05161,2409.982072,40167.96357,4970.487508,10076.66457,1082.504796,4.153902838,0.41829137,21949,6493.55,3
228 ,0,1035960.724,36308.85548,8695.423471,279.9988707,2331.386883,60.12935921,2.703609215,0.024137579,3421,1034.769,2
228 ,1,215364.6848,13193.71277,9453.842109,444.6524394,2557.024493,85.04948983,2.91237932,0.033794838,5281,1452.9,2
228 ,2,140890.047,10392.63434,6010.85692,240.3711659,2022.224047,102.5578414,2.551033103,0.033506618,3242,1059.63,2
228 ,3,386620.4291,23574.45419,6224.931361,243.7848162,1826.60921,79.91719792,2.722930528,0.050072651,2583,768.828,2
228 ,4,293085.5629,21920.24614,12890.48988,818.0792327,3014.506497,155.0109552,2.598061015,0.044606479,4323,1099.492,2
229 ,0,6545.006034,242.463309,29670.11618,1295.916601,8159.471774,362.4195082,3.358287512,0.186333259,18487,5153.424,2
229 ,1,1204.998888,96.02659667,30318.06284,3031.521819,8399.149699,742.4274626,4.087137803,0.607231895,17876,5172.421,2
229 ,2,960.000022,69.65864821,23223.92966,1851.038798,7895.10476,635.6801524,4.302068576,0.729073808,16373,5287.738,2
229 ,3,2000.003359,134.745297,25568.59084,1629.94193,7126.917048,529.1256771,3.327502369,0.238093772,16008,4657.576,2
229 ,4,2380.003765,162.9684834,35854.37373,2868.923405,9088.280412,781.3412209,2.634455361,0.184946794,21273,5521.81,1
230 ,0,0,0,36645.40153,3202.266742,14153.85481,1542.609128,3.33332503,0.541485573,34725,12398.898,3
230 ,1,0,0,0,0,0,0,0,0,0,0,0
230 ,2,0,0,0,0,0,0,0,0,0,0,0
230 ,3,0,0,0,0,0,0,0,0,0,0,0
230 ,4,0,0,0,0,0,0,0,0,0,0,0
231 ,0,620210.3473,26518.65227,35509.86901,1098.035766,10174.47441,254.5172471,4.968299711,0.06180586,18030,5892.92,3
231 ,1,219495.0488,21360.4746,28527.52861,1316.006167,8878.957964,307.9124677,4.608591255,0.085107636,16468,5779.928,3
231 ,2,80994.93948,10516.39826,33925.43553,1611.560447,11162.06578,476.2207085,5.588308614,0.258985548,18962,6691.218,3
231 ,3,139875.0824,8315.576707,33045.00933,1289.6796,9689.595507,314.8965817,6.115066616,0.165457046,15886,5567.484,3
231 ,4,179845.2766,8199.121586,47203.52222,2856.235242,11838.66896,689.4376744,4.236174435,0.093141683,22865,6072.552,2
0,0,36484846,290747.2558,36701.29284,449.3841396,10354.22442,99.00481365,4.510282303,0.016843519,19660,5952.947,3
0,1,6981645,128987.1362,38757.41161,1296.813648,10762.44845,227.0769435,4.935332828,0.040140121,20700,6377.468,3
0,2,8238220,139326.7186,30328.46381,572.3650367,10185.2547,183.1598935,4.338376031,0.034340158,17188,6004.22,3
0,3,14113101,184220.1503,34122.58502,594.7872865,9340.321203,146.4027795,4.545178548,0.027335433,18636,5395.782,3
0,4,7151880,120612.1351,47603.0969,1332.893905,12265.75195,278.6520394,4.224519491,0.0356987,24977,6748.56,3
