PRCCSID,Region,Discharges,DischargesStdErr,MeanCharges,MeanChargesStdErr,MedianCost,MeanCostStdErr,MeanLOS,MeanLOSStdErr,MedianCharges,MeanCost,MedianLOS
17,0,769.9991753,112.2649281,167378,32048.26773,15472,32048.26773,19.14935355,3.474675223,47602,46129,4
17,1,175.00014,52.43775121,0,0,0,0,0,0,0,0,0
17,2,294.9993016,82.60068285,100070,30019.77673,0,30019.77673,0,0,42927,0,0
17,3,169.9996203,46.79940317,0,0,0,0,0,0,0,0,0
17,4,130.0001134,28.99378198,0,0,0,0,23.96155226,6.071226724,0,0,6
18,0,564.9982627,70.1283285,64329,7025.034048,12112,7025.034048,7.407081876,0.771304224,39244,18965,5
18,1,139.999938,39.38834269,47568,9046.165694,10887,9046.165694,6.178572212,1.218002559,33422,15505,4
18,2,94.99990132,23.9568501,62220,11655.5563,12990,11655.5563,6.842104235,1.0725908,42038,22376,5
18,3,194.9985199,43.95775303,62115,9989.27222,11373,9989.27222,7.871803244,1.294905785,46582,18518,5
18,4,134.9999034,29.33131773,90140,23015.82479,12344,23015.82479,8.407409395,2.117921126,48517,21268,4
19,0,13319.98873,448.6604556,39957,1209.993558,7474,1209.993558,3.727376609,0.144628809,26836,10597,2
19,1,2930.001355,270.9180214,38082,2978.513937,7435,2978.513937,3.906147872,0.489440174,24392,10236,2
19,2,2419.996521,145.1012546,27642,1212.129872,6909,1212.129872,3.404960337,0.173626254,22207,9015,2
19,3,4739.9938,251.4289292,36246,1650.388278,6718,1650.388278,3.897678476,0.182059705,25697,9332,3
